"Designator","Value","Footprint","Qty","DNP"
"C1,C2,C3,C4,C7,C10,C11","4.7uF 6.3V","Capacitor_SMD:C_0402_1005Metric","7",""
"C5,C6,C8,C9","0.1uF 6.3V","Capacitor_SMD:C_0402_1005Metric","4",""
"C12","47uF 10V","Capacitor_Tantalum_SMD:CP_EIA-7343-31_Kemet-D","1",""
"D4,D5,D6","ESD5Z5.0T1G","Diode_SMD:D_SOD-523","3",""
"D7,D8","PMEG2010BEA,115","Diode_SMD:D_SOD-323","2",""
"J2","USB-C 16P","LocalOverrides:USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A","1",""
"J_BTN1","BTN_JST","Connector_JST:JST_PH_S4B-PH-K_1x04_P2.00mm_Horizontal","1",""
"J_LED1","LED_JST","Connector_JST:JST_PH_S4B-PH-K_1x04_P2.00mm_Horizontal","1",""
"J_PWR1","PWR_SW_JST","Connector_JST:JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal","1",""
"J_SD1","SD_JST","Connector_JST:JST_PH_S7B-PH-K_1x07_P2.00mm_Horizontal","1",""
"J_SIO1","SIO_IDC","Connector_IDC:IDC-Header_2x06_P2.54mm_Vertical","1",""
"Q1","UMH3NTN","Package_TO_SOT_SMD:SOT-363_SC-70-6","1",""
"Q2","DMP2035U-7","Package_TO_SOT_SMD:SOT-23","1",""
"Q3","DMG2302U","Package_TO_SOT_SMD:SOT-23","1",""
"R1,R2,R3,R5,R6,R8,R12,R15,R17,R18,R19,R20,R22,R23,R27,R28","10K","Resistor_SMD:R_0402_1005Metric","16",""
"R4","1.2k","Resistor_SMD:R_0402_1005Metric","1",""
"R7","2k","Resistor_SMD:R_0402_1005Metric","1",""
"R9","47.5K","Resistor_SMD:R_0402_1005Metric","1",""
"R10,R21","1k","Resistor_SMD:R_0402_1005Metric","2",""
"R11","22.1K","Resistor_SMD:R_0402_1005Metric","1",""
"R13","2.7k","Resistor_SMD:R_0402_1005Metric","1",""
"R14","30k","Resistor_SMD:R_0402_1005Metric","1",""
"R16","4.7K","Resistor_SMD:R_0402_1005Metric","1",""
"R24","2K","Resistor_SMD:R_0402_1005Metric","1",""
"R25,R26","5.1K","Resistor_SMD:R_0402_1005Metric","2",""
"SD1","DM3D-SF","Connector_Card:microSD_HC_Hirose_DM3D-SF","1",""
"U1","ESP32-WROVER-E-N16R8","Espressif:ESP32-WROVER-E","1",""
"U2","CP2102N-A02-GQFN24R","Package_DFN_QFN:QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm","1",""
"U3,U4","74LS07DR","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","2",""
"U5","XC6220B331MR","Package_TO_SOT_SMD:SOT-23-5","1",""
